date,asin,campaign_id,campaign_name,impressions,clicks,ctr_pct,spend,sales,orders,tos_impressions,placement_impressions,tos_impression_share_pct
2026-06-10,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,30327,58,0.191249,75.59,279.93,7,39,42188,0.092443
2026-06-10,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,15903,13,0.081746,18.61,39.99,1,39,42188,0.092443
2026-06-11,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,3813,8,0.209809,15.15,0.0,0,50,4930,1.014199
2026-06-11,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,1282,6,0.468019,12.46,39.99,1,50,4930,1.014199
2026-06-12,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,4720,5,0.105932,8.69,0.0,0,58,5071,1.143759
2026-06-12,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,373,1,0.268097,2.31,0.0,0,58,5071,1.143759
2026-06-13,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,12691,20,0.157592,44.8,0.0,0,644,15828,4.068739
2026-06-13,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,3188,9,0.282309,23.39,27.99,1,644,15828,4.068739
2026-06-14,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,22771,82,0.360107,199.63,135.96,4,6037,30514,19.784361
2026-06-14,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,7826,60,0.766675,181.61,147.96,4,6037,30514,19.784361
2026-06-15,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,18582,136,0.731891,341.47,244.91,9,6914,23275,29.705693
2026-06-15,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,4755,81,1.703470,263.28,189.93,7,6914,23275,29.705693
2026-06-16,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,10316,125,1.211710,395.41,378.86,14,6346,21324,29.759895
2026-06-16,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,11099,71,0.639697,176.06,26.99,1,6346,21324,29.759895
2026-06-17,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,5068,57,1.124704,152.6,161.94,6,1477,12114,12.192505
2026-06-17,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,7093,53,0.747216,137.53,189.93,7,1477,12114,12.192505
2026-06-18,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,7287,71,0.974338,182.06,271.9,10,1984,13307,14.909446
2026-06-18,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,6273,55,0.876773,161.61,161.94,6,1984,13307,14.909446
2026-06-19,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,12764,123,0.963648,301.2,379.86,14,2819,25917,10.877031
2026-06-19,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,13230,100,0.755858,278.19,271.9,10,2819,25917,10.877031
2026-06-20,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,25988,197,0.758042,512.58,541.8,20,4691,41460,11.314520
2026-06-20,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,15539,148,0.952442,446.4,559.79,21,4691,41460,11.314520
2026-06-21,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,45703,227,0.496685,596.94,920.66,33,7299,81382,8.968814
2026-06-21,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,37301,179,0.479880,500.62,460.83,17,7299,81382,8.968814
